frame_number,license_plate
1,SX78429
1,SV.3583S
2,SX18429
2,
3,SX18429
3,
4,SX38429
4,BSV85835
5,SX18429
5,
6,SX18429
6,
7,SX18429
7,
8,SX18429
8,NSV8583
9,SX18429
9,
10,SX18429
10,
11,SX18429
11,
11,
12,SX18429
12,
13,SX18429
13,
13,
14,SX18429
14,
15,SX18429
15,
15,
16,SX18429
16,
16,
17,SX18429
17,
18,SX18429
18,
19,SX18429
19,
20,SX18429
20,
21,SX18429
21,
22,SX18429
22,
23,SX38429
23,
23,
24,SX18429
24,
24,
25,SX18429
25,
25,
26,SX18429
26,
27,SX18429
27,
28,SX18429
28,
29,SX18429
29,
30,SX18429
30,
31,5X18429
31,
32,5X18429
32,
33,SX18429
33,
34,SX18429
34,
35,SX18429
35,
36,SX18429
36,
37,RSX18429
37,
38,SX78429
38,
39,SX18429
40,
40,
41,
42,
43,
48,
54,
57,
63,
65,
67,
69,
70,
72,
73,
74,
75,
76,
77,
78,
79,
80,
80,
81,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
144,
145,
146,
147,
147,
148,
148,
149,
150,
151,
151,
152,
152,
153,
154,
154,
155,
155,
156,
156,
157,
157,
158,
158,
159,
159,
160,
160,
161,
161,
162,
162,
163,
163,
1,SX18429
2,SX18429
3,SX18429
4,SX18429
5,SX38429
6,SX18429
7,SX18429
8,SX18429
9,SX18429
10,SX18429
11,SX18429
12,SX18429
13,SX18429
14,SX18429
15,SX18429
16,SX18429
17,SX18429
18,SX18429
19,SX18429
20,SX18429
21,SX18429
22,SX18429
23,SX78429
24,SX18429
25,SX18429
26,SX18429
27,SX18429
27,
28,SX18429
28,
29,SX18429
29,
30,SX18429
30,
31,5X18429
31,
32,5X18429
32,
33,SX18429
33,
34,SX18429
34,
35,SX18429
35,
36,SX18429
36,
37,SX18429
37,
38,SX78429
38,
39,SX18429
39,
41,
42,
74,
75,
78,
79,
1,SX18429
2,SX18429
3,SX18429
4,SX38429
5,SX18429
5,
6,SX18429
7,SX18429
8,SX18429
9,SX18429
10,SX18429
11,SX18429
12,SX18429
13,SX18429
14,SX18429
15,SX18429
16,SX18429
17,SX18429
18,SX18429
19,SX18429
20,SX18429
21,SX18429
22,SX18429
23,SX18429
24,SX18429
25,SX18429
26,SX18429
27,SX18429
28,SX18429
29,SX18429
30,SX18429
31,5X18429
32,SX18429
33,SX18429
34,SX16429
1,SX78429
2,SX18429
3,SX18429
4,SX18429
5,SX18429
6,SX18429
7,SX18429
8,SX18429
9,SX18429
10,SX18429
11,SX18429
12,SX18429
13,SX18429
14,SX18429
15,SX18429
16,SX18429
17,SX18429
18,SX18429
19,SX18429
20,SX18429
21,SX18429
22,SX18429
23,SX78429
24,SX18429
25,SX18429
26,SX18429
27,SX18429
28,SX18429
29,SX18429
30,SX18429
31,5X18429
32,SX18429
33,SX18429
34,SX18429
35,SX18429
36,SX18429
37,SX18429
38,SX78429
39,SX18429
40,
1,SX78429
1,
2,SX18429
2,HSV85835
3,SX18429
4,SX38429
5,SX18429
6,SX18429
7,SX18429
7,
8,SX18429
8,
9,SX18429
9,
10,SX18429
11,SX18429
12,SX18429
12,SV.85835
13,SX18429
14,SX18429
15,SX18429
16,SX18429
16,
17,SX18429
18,SX18429
19,SX18429
20,SX18429
21,SX18429
22,SX18429
23,SX78429
24,SX18429
25,SX18429
26,SX18429
27,SX18429
28,SX18429
29,SX18429
30,SX18429
31,5X18429
32,5X18429
33,SX18429
34,SX18429
35,SX18429
36,SX18429
37,SX16429
38,SX78429
39,SX78429
40,
41,
1,184
7,029
10,SX18439
12,5X18429
15,ESX18429
16,18429
18,189
21,SX1829
24,1518429
25,SX16429
26,SX18429
35,F5X18429
36,E5X18429
38,1SX18429
1,10079
2,
2,
3,
4,318479
5,
6,
7,
8,1629
9,
9,
10,
11,
12,
12,
13,518429
14,E5X18429
15,1829
16,182
17,10429
18,118
19,
20,
21,S110429
22,5118429
23,518429
24,SR18429
25,SX1829
26,ST15429
27,5318429
28,
29,ST.18429
30,SX18429
31,$X18+29
32,$X18+2
33,
34,
35,
36,
37,SX18429
38,RSX18429
39,1$X18425
1,SX78429
1,
2,SX18429
2,SV85815
3,SX18429
4,SX18429
5,SX18429
6,SX18429
7,SX18429
8,SX18429
9,SX18429
9,
10,SX18429
10,
11,SX18429
12,SX18429
12,
13,SX18429
13,
14,SX18429
15,SX18429
16,SX18429
16,
17,SX18429
18,SX18429
